host_response_time,neighbourhood,zipcode,property_type,room_type,accommodates,bathrooms,bedrooms,bed_type,price,minimum_nights,no_of_reviews,scores_rating,scores_cleanliness,scores_location,cancellation_policy
within a few hours,Downtown,98121,Condominium,Entire home/apt,2,1,1,Real Bed,150,3,2,90,10,9,moderate
within a day,Downtown,98121,Condominium,Entire home/apt,4,1,1,Real Bed,99,1,11,98,10,9,strict
within an hour,Downtown,98121,Condominium,Entire home/apt,5,1.5,2,Real Bed,169,3,16,90,10,10,strict
within an hour,Downtown,98121,Loft,Entire home/apt,4,1,0,Real Bed,125,1,67,94,10,10,strict
within an hour,Downtown,98121,Condominium,Entire home/apt,6,1,2,Real Bed,183,2,7,100,10,10,strict
within a few hours,Downtown,98121,Condominium,Entire home/apt,5,1,1,Real Bed,155,2,23,90,9,9,strict
within an hour,Downtown,98121,Condominium,Entire home/apt,6,1,1,Real Bed,105,1,25,90,10,10,strict
within a day,Capitol Hill,98122,Condominium,Entire home/apt,2,1,0,Real Bed,100,2,3,93,9,10,moderate
within a few hours,Capitol Hill,98122,Loft,Entire home/apt,3,1,1,Real Bed,150,1,2,100,10,10,flexible
within a day,Capitol Hill,98122,Condominium,Entire home/apt,4,1,1,Real Bed,110,2,5,92,10,10,strict
within an hour,Capitol Hill,98122,Condominium,Entire home/apt,6,1,2,Real Bed,99,1,3,80,8,10,strict
N/A,Capitol Hill,98122,Condominium,Entire home/apt,2,1,1,Real Bed,85,1,40,94,10,10,flexible
within an hour,Capitol Hill,98122,Condominium,Entire home/apt,2,1,1,Real Bed,90,1,14,99,10,10,strict
within a day,Capitol Hill,98122,Condominium,Entire home/apt,3,1,1,Real Bed,150,1,14,81,8,9,moderate
within an hour,Capitol Hill,98122,Bed & Breakfast,Private room,2,1,1,Real Bed,155,2,24,98,10,10,moderate
within an hour,Capitol Hill,98122,Bed & Breakfast,Private room,1,5,1,Real Bed,145,4,12,97,10,10,moderate
within an hour,Capitol Hill,98122,Bed & Breakfast,Private room,2,1,1,Real Bed,165,2,4,90,10,10,moderate
within an hour,Capitol Hill,98122,Bed & Breakfast,Private room,1,3,1,Real Bed,105,2,19,92,10,10,moderate
within a day,Capitol Hill,98122,Townhouse,Entire home/apt,4,2.5,2,Real Bed,120,1,5,96,10,10,strict
within a day,Central Area,98122,Townhouse,Private room,1,1,1,Real Bed,60,1,7,94,10,9,flexible
within an hour,Central Area,98122,Townhouse,Private room,2,1,1,Real Bed,65,2,16,94,10,8,moderate
within a day,Central Area,98122,Townhouse,Entire home/apt,5,1.5,2,Real Bed,300,3,1,100,10,10,strict
within an hour,Central Area,98122,Townhouse,Entire home/apt,7,1.5,2,Real Bed,150,2,4,100,10,10,strict
within a day,Central Area,98122,Townhouse,Entire home/apt,7,1.5,0,Real Bed,155,3,1,100,10,10,strict
within a few hours,Central Area,98122,Loft,Entire home/apt,2,1,1,Real Bed,85,2,2,100,10,10,strict
within a few hours,Central Area,98122,Townhouse,Entire home/apt,4,1,1,Real Bed,110,1,10,94,9,9,moderate
within an hour,Central Area,98122,Cabin,Private room,4,1,1,Real Bed,56,1,79,84,9,9,strict
within an hour,Central Area,98122,Townhouse,Entire home/apt,4,1.5,2,Real Bed,145,2,2,100,10,10,strict
within an hour,Central Area,98122,Cabin,Private room,2,1,1,Real Bed,52,1,99,86,9,9,strict
within an hour,Central Area,98122,Loft,Entire home/apt,2,1,0,Real Bed,110,2,34,96,10,10,strict
within an hour,Central Area,98122,Townhouse,Private room,2,1,1,Real Bed,75,2,16,99,10,10,flexible
within an hour,Central Area,98122,Townhouse,Private room,2,1,1,Real Bed,69,2,29,97,10,9,strict
within an hour,Central Area,98122,Townhouse,Entire home/apt,4,2,1,Real Bed,110,2,4,100,10,10,strict
within an hour,Central Area,98122,Townhouse,Private room,2,1,1,Real Bed,90,1,27,100,10,10,moderate
within an hour,Central Area,98122,Townhouse,Entire home/apt,4,0.5,1,Real Bed,95,2,33,95,10,9,strict
within a few hours,Central Area,98122,Condominium,Entire home/apt,3,1,1,Real Bed,100,1,9,96,10,10,flexible
within a few hours,Central Area,98122,Townhouse,Entire home/apt,6,1.5,2,Real Bed,122,1,3,100,10,10,moderate
within an hour,Central Area,98122,Townhouse,Entire home/apt,8,3.5,3,Real Bed,325,1,1,100,10,10,strict
within an hour,Central Area,98122,Loft,Entire home/apt,10,2.5,2,Real Bed,425,1,32,96,10,9,strict
within an hour,Central Area,98122,Townhouse,Private room,4,1,1,Real Bed,85,2,8,98,10,9,strict
within a few hours,Central Area,98122,Loft,Entire home/apt,2,1,0,Real Bed,79,3,62,99,10,9,flexible
within a day,Central Area,98122,Townhouse,Entire home/apt,4,2,2,Real Bed,149,3,6,100,10,10,strict
within a few hours,Downtown,98122,Condominium,Private room,2,1.5,1,Real Bed,100,1,6,100,10,10,flexible
within a few hours,Downtown,98122,Condominium,Private room,2,1,1,Real Bed,66,1,11,96,10,10,flexible
within an hour,Downtown,98122,Condominium,Entire home/apt,4,1,1,Real Bed,180,1,16,98,10,10,strict
within a few hours,Downtown,98122,Condominium,Private room,2,1,1,Real Bed,70,2,1,100,10,10,flexible
N/A,Beacon Hill,98144,Townhouse,Entire home/apt,4,2.5,2,Real Bed,180,1,2,100,10,10,flexible
within an hour,Beacon Hill,98144,Bungalow,Entire home/apt,2,1,0,Real Bed,99,2,14,94,10,9,moderate
N/A,Beacon Hill,98144,Townhouse,Private room,2,1,1,Real Bed,50,1,5,100,10,8,flexible
N/A,Beacon Hill,98144,Townhouse,Private room,2,1.5,1,Real Bed,150,2,9,96,10,9,moderate
within an hour,Beacon Hill,98144,Townhouse,Private room,2,1,1,Real Bed,85,1,3,100,10,9,strict
within a few hours,Central Area,98144,Townhouse,Private room,2,1,1,Real Bed,55,2,3,90,10,10,moderate
within a few hours,Central Area,98144,Townhouse,Private room,2,1.5,1,Real Bed,75,1,1,100,8,8,flexible
within a day,Central Area,98144,Townhouse,Private room,1,1,1,Real Bed,55,1,12,97,10,9,flexible
within a few hours,Central Area,98144,Townhouse,Private room,2,1,1,Real Bed,60,1,1,100,10,10,flexible
within a day,Central Area,98144,Townhouse,Entire home/apt,2,1,1,Real Bed,115,1,14,89,9,9,strict
within an hour,Central Area,98144,Bungalow,Private room,2,1.5,1,Real Bed,70,1,22,94,10,9,moderate
within a day,Central Area,98144,Condominium,Entire home/apt,4,2,3,Real Bed,175,2,4,100,10,10,flexible
within an hour,Central Area,98144,Cabin,Entire home/apt,4,1,0,Real Bed,95,2,38,97,10,9,strict
within an hour,Central Area,98144,Loft,Entire home/apt,4,1,0,Real Bed,170,1,80,99,10,9,moderate
within a few hours,Central Area,98144,Condominium,Private room,2,1,1,Real Bed,65,1,2,100,10,10,flexible
within a day,Rainier Valley,98144,Bed & Breakfast,Private room,3,2,1,Real Bed,125,1,6,100,10,10,strict
within a day,Rainier Valley,98144,Bed & Breakfast,Private room,2,1,1,Real Bed,75,2,39,92,9,9,moderate
within a day,Rainier Valley,98144,Bed & Breakfast,Private room,2,1,1,Real Bed,89,2,46,96,9,9,moderate
within an hour,Capitol Hill,98102,House,Private room,2,1,1,Futon,139,1,24,100,10,10,strict
within an hour,University District,98105,House,Private room,2,1,1,Futon,59,1,36,95,9,9,moderate
within a day,University District,98105,House,Private room,1,1,1,Airbed,43,1,11,91,10,10,flexible
within a few hours,Ballard,98107,House,Private room,2,1,1,Pull-out Sofa,59,1,16,93,10,10,flexible
within a few hours,Ballard,98107,House,Private room,2,1,1,Futon,70,1,75,94,9,10,flexible
within a few hours,Ballard,98107,House,Private room,2,1,1,Futon,70,1,31,95,10,10,moderate
within an hour,Ballard,98107,House,Entire home/apt,2,1,1,Futon,79,2,44,97,10,10,moderate
within a few hours,Ballard,98107,House,Entire home/apt,2,1,1,Futon,80,2,39,98,10,10,moderate
within an hour,Ballard,98107,House,Private room,1,1,1,Pull-out Sofa,52,30,14,97,10,10,moderate
within a few hours,Capitol Hill,98112,House,Private room,2,1,1,Airbed,40,1,6,93,9,9,flexible
a few days or more,Queen Anne,98119,House,Private room,1,1,1,Futon,45,1,7,97,8,10,flexible
within an hour,Central Area,98122,House,Private room,2,1,1,Pull-out Sofa,65,2,28,96,10,9,flexible
within an hour,Central Area,98122,House,Entire home/apt,2,1,1,Pull-out Sofa,95,1,8,94,10,9,flexible
within an hour,Central Area,98122,House,Entire home/apt,2,1,0,Pull-out Sofa,124,3,164,98,10,10,strict
N/A,Central Area,98122,House,Private room,2,1,1,Futon,70,12,3,100,10,10,flexible
within a few hours,Central Area,98122,House,Private room,1,1,1,Futon,90,3,32,95,9,10,moderate
within an hour,Beacon Hill,98144,House,Private room,2,1,1,Futon,60,1,64,98,10,10,flexible
within an hour,Beacon Hill,98144,House,Private room,1,1.5,1,Airbed,60,1,34,95,10,9,flexible
within an hour,Beacon Hill,98144,House,Private room,1,1,1,Airbed,36,1,67,94,10,9,moderate
within an hour,Beacon Hill,98144,House,Private room,1,1,1,Airbed,37,1,46,95,9,9,moderate
within a few hours,Central Area,98144,House,Private room,2,1.5,1,Pull-out Sofa,56,2,18,98,10,9,flexible
within a day,Central Area,98144,House,Private room,2,1,1,Futon,68,2,17,96,10,9,moderate
within a day,Central Area,98144,House,Entire home/apt,2,1,0,Pull-out Sofa,64,2,18,89,9,9,flexible
within an hour,Rainier Valley,98144,House,Private room,2,1,1,Pull-out Sofa,69,2,18,98,10,10,flexible
within an hour,Capitol Hill,98112,House,Shared room,1,3.5,1,Real Bed,27,2,20,94,9,10,strict
within an hour,Capitol Hill,98112,House,Shared room,1,3.5,1,Real Bed,29,2,1,100,10,10,strict
within an hour,Capitol Hill,98112,House,Shared room,1,1,1,Real Bed,29,2,19,94,9,10,strict
within an hour,Capitol Hill,98112,House,Shared room,1,3.5,1,Real Bed,29,2,7,89,9,9,strict
within an hour,Capitol Hill,98112,House,Shared room,1,3.5,1,Real Bed,29,2,16,90,9,9,strict
within an hour,Capitol Hill,98112,House,Shared room,1,3.5,1,Real Bed,29,2,25,90,9,9,strict
within an hour,Capitol Hill,98112,House,Shared room,1,1,1,Real Bed,30,2,21,92,9,10,strict
within an hour,Capitol Hill,98112,House,Shared room,1,1,1,Real Bed,30,2,18,91,9,9,strict
within an hour,Capitol Hill,98112,House,Shared room,1,3.5,1,Real Bed,30,2,2,100,10,10,strict
within an hour,Capitol Hill,98112,House,Shared room,1,3.5,1,Real Bed,30,2,14,99,10,10,strict
within a day,Beacon Hill,98144,House,Shared room,1,1,1,Real Bed,30,1,81,94,9,9,moderate
within an hour,Capitol Hill,98112,House,Shared room,1,3.5,1,Real Bed,31,2,16,95,9,9,strict
within an hour,Capitol Hill,98112,House,Shared room,1,1,1,Real Bed,31,2,20,85,8,9,strict
within an hour,Capitol Hill,98112,House,Shared room,1,3.5,1,Real Bed,33,2,18,94,10,10,strict
within an hour,Ballard,98107,House,Private room,2,1.5,1,Real Bed,35,1,7,97,10,10,strict
