host_response_time,neighbourhood,zipcode,property_type,room_type,accommodates,bathrooms,bedrooms,bed_type,price,minimum_nights,no_of_reviews,scores_rating,scores_cleanliness,scores_location,cancellation_policy
within a few hours,Downtown,98101,Apartment,Entire home/apt,5,1,2,Real Bed,175,3,14,92,10,10,strict
within an hour,Downtown,98101,Apartment,Entire home/apt,4,1,2,Real Bed,175,3,17,96,10,10,moderate
within an hour,Downtown,98101,Apartment,Entire home/apt,6,1,2,Real Bed,175,3,18,90,9,9,moderate
within a few hours,Downtown,98101,Apartment,Entire home/apt,4,1,1,Real Bed,175,3,21,98,10,10,strict
N/A,Downtown,98101,Apartment,Entire home/apt,4,1,1,Real Bed,175,3,22,94,9,10,moderate
within a few hours,Downtown,98101,Apartment,Entire home/apt,3,1,1,Real Bed,175,2,24,95,9,9,strict
within a few hours,Downtown,98121,Apartment,Entire home/apt,6,1,2,Real Bed,175,2,24,93,10,10,strict
within a few hours,Downtown,98121,Apartment,Entire home/apt,6,1,2,Real Bed,175,2,24,97,10,10,strict
within a few hours,Downtown,98121,Apartment,Entire home/apt,6,2,2,Real Bed,175,2,26,93,9,9,strict
within an hour,Downtown,98101,Apartment,Entire home/apt,6,2,2,Real Bed,175,3,27,90,9,10,moderate
within a few hours,Downtown,98121,Apartment,Entire home/apt,6,1,2,Real Bed,175,2,29,91,10,9,strict
within an hour,Queen Anne,98119,Apartment,Entire home/apt,4,1,1,Real Bed,175,2,38,96,10,10,strict
within an hour,Queen Anne,98109,Apartment,Entire home/apt,4,2,2,Real Bed,175,2,54,96,9,10,moderate
within an hour,Downtown,98101,Apartment,Entire home/apt,6,1,2,Real Bed,175,3,75,94,9,10,strict
within an hour,Downtown,98101,Apartment,Entire home/apt,3,1,1,Real Bed,175,1,114,93,9,10,moderate
within a day,Downtown,98122,Apartment,Entire home/apt,4,1,1,Real Bed,174,3,13,92,10,9,strict
within a day,Downtown,98122,Apartment,Entire home/apt,4,1,2,Real Bed,174,3,14,96,10,9,strict
within a day,Capitol Hill,98122,Apartment,Entire home/apt,4,1,1,Real Bed,174,3,19,98,10,10,strict
within an hour,Downtown,98101,Apartment,Entire home/apt,6,2,2,Real Bed,171,2,6,97,10,10,strict
within a few hours,Cascade,98109,Apartment,Entire home/apt,4,1,2,Real Bed,170,5,2,100,8,10,strict
within an hour,Downtown,98121,Apartment,Entire home/apt,4,1,0,Real Bed,170,2,10,98,10,10,moderate
within an hour,Downtown,98101,Apartment,Entire home/apt,3,1,1,Real Bed,170,2,27,99,10,10,strict
within an hour,Central Area,98122,Apartment,Entire home/apt,2,1,1,Real Bed,170,3,31,96,9,10,moderate
within an hour,Downtown,98122,Apartment,Entire home/apt,5,2,2,Real Bed,169,1,4,95,10,10,strict
within a few hours,Capitol Hill,98102,Apartment,Entire home/apt,2,1.5,1,Real Bed,169,1,15,97,9,10,flexible
within a day,Downtown,98121,Apartment,Entire home/apt,2,1,1,Real Bed,169,2,15,99,10,10,flexible
N/A,Central Area,98112,Apartment,Private room,2,1,1,Real Bed,169,2,42,97,10,10,strict
within an hour,Capitol Hill,98102,Apartment,Entire home/apt,3,1,1,Real Bed,169,14,44,94,10,10,strict
within a few hours,Downtown,98101,Apartment,Entire home/apt,4,1,1,Real Bed,168,2,2,100,10,10,flexible
